1888.96	8.28	445.35
1889.04	7.99	471.94
1889.12	7.90	484.83
1889.21	7.80	482.31
1889.29	7.80	483.14
1889.37	7.61	510.40
1889.46	7.61	520.83
1889.54	7.61	512.04
1889.62	7.61	520.60
1889.71	7.71	528.40
1889.79	7.71	520.57
1889.87	7.71	517.52
1889.96	7.80	510.09
1890.04	7.61	530.54
1890.12	7.61	526.43
1890.21	7.61	524.29
1890.29	7.61	537.03
1890.37	7.71	554.84
1890.46	7.71	552.70
1890.54	7.71	550.56
1890.62	7.99	520.19
1890.71	8.09	507.26
1890.79	8.09	486.13
1890.87	7.90	463.38
1890.96	7.90	454.36
1891.04	7.80	485.73
1891.12	7.90	487.64
1891.21	7.99	474.79
1891.29	8.09	486.60
1891.37	7.99	492.23
1891.46	7.80	495.91
1891.54	7.71	495.65
1891.62	7.71	514.18
1891.71	7.61	564.79
1891.79	7.61	566.73
1891.87	7.52	567.26
1891.96	7.52	586.53
1892.04	7.33	614.95
1892.12	7.33	618.14
1892.21	7.14	643.68
1892.29	7.04	653.41
1892.37	7.04	655.65
1892.46	7.04	654.37
1892.54	7.23	639.37
1892.62	7.33	642.39
1892.71	7.33	628.63
1892.79	7.33	643.51
1892.87	7.52	627.20
1892.96	7.61	614.92
1893.04	7.90	605.61
1893.12	7.99	589.88
1893.21	7.80	584.55
1893.29	7.71	594.02
1893.37	7.61	550.52
1893.46	7.42	540.18
1893.54	7.23	505.15
1893.62	6.95	515.92
1893.71	7.23	533.28
1893.79	7.33	544.50
1893.87	7.14	570.30
1893.96	7.04	560.40
1894.04	6.85	566.90
1894.12	6.76	585.57
1894.21	6.57	623.18
1894.29	6.57	634.19
1894.37	6.57	613.30
1894.46	6.57	607.61
1894.54	6.57	597.65
1894.62	6.76	605.23
1894.71	6.85	608.78
1894.79	6.66	609.12
1894.87	6.66	611.62
1894.96	6.57	617.27
1895.04	6.57	612.58
1895.12	6.57	606.42
1895.21	6.57	608.89
1895.29	6.85	610.94
1895.37	6.95	637.99
1895.46	7.04	643.93
1895.54	6.95	657.82
1895.62	6.85	679.17
1895.71	6.85	685.72
1895.79	6.85	678.06
1895.87	6.85	657.50
1895.96	6.76	629.84
1896.04	6.66	633.77
1896.12	6.57	672.42
1896.21	6.57	664.21
1896.29	6.47	682.52
1896.37	6.37	692.00
1896.46	6.28	692.18
1896.54	6.28	649.77
1896.62	6.28	615.24
1896.71	6.28	649.99
1896.79	6.47	647.41
1896.87	6.66	674.18
1896.96	6.66	651.86
1897.04	6.47	673.42
1897.12	6.47	669.43
1897.21	6.47	673.43
1897.29	6.37	664.72
1897.37	6.28	680.61
1897.46	6.28	714.81
1897.54	6.28	749.13
1897.62	6.57	765.56
1897.71	6.76	782.37
1897.79	6.66	770.44
1897.87	6.66	745.66
1897.96	6.66	764.10
1898.04	6.66	787.45
1898.12	6.76	777.20
1898.21	6.76	744.55
1898.29	6.76	734.23
1898.37	7.23	733.31
1898.46	6.76	818.13
1898.54	6.66	835.72
1898.62	6.66	869.62
1898.71	6.66	870.65
1898.79	6.66	855.16
1898.87	6.66	886.13
1898.96	6.76	930.58
1899.04	6.76	1004.16
1899.12	6.95	1016.29
1899.21	6.95	1033.51
1899.29	7.04	1034.99
1899.37	7.04	994.58
1899.46	7.14	961.89
1899.54	7.23	984.76
1899.62	7.33	999.40
1899.71	7.61	954.05
1899.79	7.71	940.40
1899.87	7.80	949.07
1899.96	7.90	876.31
1900.04	7.90	890.59
1900.12	7.99	898.57
1900.21	7.99	908.61
1900.29	7.99	923.12
1900.37	7.80	903.96
1900.46	7.71	891.07
1900.54	7.80	883.49
1900.62	7.71	910.04
1900.71	7.80	881.26
1900.79	7.71	928.09
1900.87	7.71	1004.44
1900.96	7.61	1082.12
1901.04	7.71	1103.79
1901.12	7.61	1150.03
1901.21	7.61	1195.31
1901.29	7.52	1316.10
1901.37	7.52	1253.96
1901.46	7.52	1383.06
1901.54	7.61	1278.36
1901.62	7.71	1284.25
1901.71	7.80	1266.42
1901.79	7.80	1256.35
1901.87	7.90	1272.05
1901.96	7.99	1240.83
1902.04	7.90	1286.86
1902.12	7.90	1302.20
1902.21	7.90	1308.06
1902.29	7.99	1340.87
1902.37	8.09	1326.19
1902.46	8.18	1307.22
1902.54	8.18	1340.98
1902.62	8.09	1397.33
1902.71	8.18	1388.48
1902.79	8.75	1260.87
1902.87	8.47	1257.37
1902.96	8.56	1218.87
1903.04	8.66	1271.01
1903.12	8.66	1267.67
1903.21	8.37	1263.80
1903.29	8.37	1216.57
1903.37	8.18	1225.30
1903.46	8.18	1162.16
1903.54	8.18	1113.35
1903.62	8.18	1082.24
1903.71	8.28	1048.62
1903.79	8.18	1031.13
1903.87	8.09	1051.43
1903.96	8.09	1104.86
1904.04	8.28	1102.28
1904.12	8.47	1053.10
1904.21	8.37	1066.42
1904.29	8.28	1109.99
1904.37	8.09	1116.90
1904.46	8.09	1123.35
1904.54	8.09	1174.63
1904.62	8.18	1204.98
1904.71	8.28	1248.33
1904.79	8.28	1326.16
1904.87	8.47	1370.99
1904.96	8.47	1388.75
1905.04	8.47	1423.42
1905.12	8.47	1490.30
1905.21	8.37	1554.54
1905.29	8.37	1540.18
1905.37	8.28	1485.83
1905.46	8.28	1507.98
1905.54	8.28	1560.02
1905.62	8.37	1604.35
1905.71	8.28	1632.87
1905.79	8.28	1660.68
1905.87	8.37	1637.83
1905.96	8.47	1664.23
1906.04	8.47	1726.68
1906.12	8.47	1719.42
1906.21	8.47	1682.39
1906.29	8.47	1664.70
1906.37	8.56	1607.78
1906.46	8.56	1634.12
1906.54	8.28	1652.46
1906.62	8.47	1740.39
1906.71	8.56	1779.75
1906.79	8.75	1694.59
1906.87	8.85	1716.50
1906.96	8.94	1688.54
1907.04	8.85	1663.97
1907.12	9.04	1583.59
1907.21	8.94	1449.06
1907.29	8.94	1461.98
1907.37	9.13	1387.96
1907.46	9.23	1335.51
1907.54	9.23	1392.62
1907.62	9.23	1294.34
1907.71	9.23	1286.75
1907.79	9.32	1141.32
1907.87	8.94	1126.52
1907.96	8.75	1216.68
1908.04	8.66	1289.29
1908.12	8.56	1262.91
1908.21	8.56	1321.44
1908.29	8.66	1384.06
1908.37	8.66	1465.36
1908.46	8.66	1474.00
1908.54	8.75	1518.04
1908.62	8.75	1589.81
1908.71	8.75	1579.06
1908.79	8.85	1587.70
1908.87	8.94	1683.55
1908.96	9.04	1709.85
1909.04	8.94	1740.21
1909.12	9.04	1678.92
1909.21	9.04	1708.33
1909.29	9.23	1754.60
1909.37	9.32	1800.93
1909.46	9.42	1820.69
1909.54	9.42	1853.25
1909.62	9.51	1885.57
1909.71	9.61	1875.32
1909.79	9.80	1852.64
1909.87	9.90	1832.38
1909.96	9.99	1842.85
1910.04	9.90	1827.50
1910.12	9.90	1768.95
1910.21	10.09	1785.10
1910.29	10.18	1732.46
1910.37	9.99	1743.24
1910.46	9.90	1682.30
1910.54	9.90	1604.30
1910.62	9.80	1666.44
1910.71	9.70	1701.52
1910.79	9.42	1841.37
1910.87	9.23	1885.19
1910.96	9.23	1840.47
1911.04	9.23	1893.17
1911.12	8.94	1995.56
1911.21	9.04	1959.72
1911.29	8.75	2023.44
1911.37	8.75	2075.59
1911.46	8.75	2125.76
1911.54	8.85	2102.74
1911.62	9.13	1948.00
1911.71	9.23	1831.04
1911.79	9.23	1849.87
1911.87	9.13	1952.55
1911.96	9.04	1990.33
1912.04	9.13	1980.23
1912.12	9.23	1951.09
1912.21	9.42	1974.97
1912.29	9.70	1984.79
1912.37	9.70	1990.90
1912.46	9.61	2018.92
1912.54	9.61	2029.39
1912.62	9.70	2063.91
1912.71	9.80	2062.58
1912.79	9.80	2066.73
1912.87	9.80	2052.01
1912.96	9.70	2006.12
1913.04	9.80	1978.16
1913.12	9.80	1916.48
1913.21	9.80	1888.70
1913.29	9.80	1895.14
1913.37	9.70	1871.12
1913.46	9.80	1767.54
1913.54	9.90	1782.01
1913.62	9.90	1838.31
1913.71	10.00	1845.77
1913.79	10.00	1796.00
1913.87	10.10	1741.62
1913.96	10.00	1765.59
1914.04	10.00	1846.75
1914.12	9.90	1898.65
1914.21	9.90	1871.51
1914.29	9.80	1853.87
1914.37	9.90	1855.01
1914.46	9.90	1854.44
1914.54	10.00	1742.65
1914.62	10.20	1716.64
1914.71	10.20	1724.74
1914.79	10.10	1749.95
1914.87	10.20	1740.78
1914.96	10.10	1690.49
1915.04	10.10	1728.45
1915.12	10.00	1730.60
1915.21	9.90	1801.43
1915.29	10.00	1926.01
1915.37	10.10	1870.71
1915.46	10.10	1900.22
1915.54	10.10	1901.52
1915.62	10.10	1990.67
1915.71	10.10	2073.07
